timestamp,oob,n_train,n_kgs,n_classes,trained_at,top_feature,top_importance,delta_oob,rolling_avg_5,status
2026-04-15T10:20:02Z,0.790469,31203,10,18,2026-04-15 10:16,h_mean,0.0327,+0.000000,0.790469,improving
2026-04-15T10:55:02Z,0.762608,59286,20,19,2026-04-15 10:54,hansen_recent_loss_frac,0.0303,-0.027861,0.776539,improving
2026-04-15T11:45:01Z,0.784510,92097,30,19,2026-04-15 11:44,fused_ndvi_mean,0.0306,+0.021902,0.779196,improving
2026-04-15T12:30:01Z,0.786713,121212,40,19,2026-04-15 12:25,sar_vh,0.0334,+0.002203,0.781075,improving
2026-04-15T13:15:01Z,0.784229,146864,50,19,2026-04-15 13:10,fused_ndvi_mean,0.0327,-0.002484,0.781706,declining
